Codebook: The Performance of Creative AI Systems;;;;;
;;;;;
ID and Consent;;;;;
Variable;Variable Label;Response Code;Response Label;Variable Type;Input Type
SERIAL;Participant code;;;TEXT;TXT
DA01;Informed consent in processing of data;1;Yes;NOMINAL;MC
DA01;DAS;2;No;NOMINAL;MC
DA01;DAS;-9;N.A.;NOMINAL;MC
;;;;;
"Rating Items; Note: Every Melody was rated with the same four items (starting with ""F""), the appendix (e.g. ""01"") refers to the specific rating variable";;;;;
Variable;Variable Label;Response Code;Response Label;Variable Type;Input Type
F*_01;Rating: ... is musically convincing.;1;not at all [0];ORDINAL;MC
F*_01;Rating: ... is musically convincing.;2;[1];ORDINAL;MC
F*_01;Rating: ... is musically convincing.;3;[2];ORDINAL;MC
F*_01;Rating: ... is musically convincing.;4;[3];ORDINAL;MC
F*_01;Rating: ... is musically convincing.;5;very much [4];ORDINAL;MC
F*_01;Rating: ... is musically convincing.;-9;N.A.;ORDINAL;MC
F*_02;Rating: ... Is musically logical and meaningful.;1;not at all [0];ORDINAL;MC
F*_02;Rating: ... is musically logical and meaningful.;2;[1];ORDINAL;MC
F*_02;Rating: ... is musically logical and meaningful.;3;[2];ORDINAL;MC
F*_02;Rating: ... is musically logical and meaningful.;4;[3];ORDINAL;MC
F*_02;Rating: ... is musically logical and meaningful.;5;very much [4];ORDINAL;MC
F*_02;Rating: ... is musically logical and meaningful.;-9;N.A.;ORDINAL;MC
F*_03;Rating: ... is interesting.;1;not at all [0];ORDINAL;MC
F*_03;Rating: ... is interesting.;2;[1];ORDINAL;MC
F*_03;Rating: ... is interesting.;3;[2];ORDINAL;MC
F*_03;Rating: ... is interesting.;4;[3];ORDINAL;MC
F*_03;Rating: ... is interesting.;5;very much [4];ORDINAL;MC
F*_03;Rating: ... is interesting.;-9;N.A.;ORDINAL;MC
F*_04;Rating: ... I like the melody.;1;not at all [0];ORDINAL;MC
F*_04;Rating: ... I like the melody.;2;[1];ORDINAL;MC
F*_04;Rating: ... I like the melody.;3;[2];ORDINAL;MC
F*_04;Rating: ... I like the melody.;4;[3];ORDINAL;MC
F*_04;Rating: ... I like the melody.;5;very much [4];ORDINAL;MC
F*_04;Rating: ... I like the melody.;-9;N.A.;ORDINAL;MC
;;;;;
"Decision items; Note: AI compositions";;;;;
Variable;Variable Label;Response Code;Response Label;Variable Type;Input Type
HK* / KH*;Human or machine: definitely human/definitely machine;1;definitly human [1];ORDINAL;MC
HK* / KH*;Human or machine: definitely human/definitely machine;2;[2];ORDINAL;MC
HK* / KH*;Human or machine: definitely human/definitely machine;3;[3];ORDINAL;MC
HK* / KH*;Human or machine: definitely human/definitely machine;4;[4];ORDINAL;MC
HK* / KH*;Human or machine: definitely human/definitely machine;5;[5];ORDINAL;MC
HK* / KH*;Human or machine: definitely human/definitely machine;6;[6];ORDINAL;MC
HK* / KH*;Human or machine: definitely human/definitely machine;7;[7];ORDINAL;MC
HK* / KH*;Human or machine: definitely human/definitely machine;8;definitly machine [8];ORDINAL;MC
HK* / KH*;Human or machine: definitely human/definitely machine;-9;N.A.;ORDINAL;MC
;;;;;
Sociodemographic variables;;;;;
Variable;Variable Label;Response Code;Response Label;Variable Type;Input Type
SD05;Gender;1;female;NOMINAL;MC
SD05;Gender;2;male;NOMINAL;MC
SD05;Gender;3;diverse;NOMINAL;MC
SD05;Gender;-9;N.A.;NOMINAL;MC
SD06_01;Age: How old are you? ? in years;;;METRIC;TXT
SD07;Musical identity: For how long did you take music or instrumental lessons and/or made music daily?;1;Up to 6 years.;NOMINAL;MC
SD07;Musical identity: For how long did you take music or instrumental lessons and/or made music daily?;2;6 to 10 years.;NOMINAL;MC
SD07;Musical identity: For how long did you take music or instrumental lessons and/or made music daily?;3;More than 10 years.;NOMINAL;MC
SD07;Musical identity: For how long did you take music or instrumental lessons and/or made music daily?;-9;N.A.;NOMINAL;MC
;;;;;
"Variable ""question""; labelling";;;;;
question;melody;;;;
F101;gpt_pp1_1;;;;
F102;gpt_pp1_2;;;;
F103;gpt_pp1_3;;;;
F104;gpt_pp1_4;;;;
F105;gpt_pp1_5;;;;
F106;gpt_pp1_6;;;;
F107;gpt_pp1_7;;;;
F108;gpt_pp1_8;;;;
F109;gpt_pp1_9;;;;
F110;gpt_pp1_10;;;;
F111;gpt_pp1_11;;;;
F112;gpt_pp1_12;;;;
F113;gpt_pp1_13;;;;
F114;gpt_pp1_14;;;;
F115;gpt_pp1_15;;;;
F116;gpt_pp1_16;;;;
F117;gpt_pp1_17;;;;
F118;gpt_pp1_18;;;;
F119;gpt_pp1_19;;;;
F120;gpt_pp1_20;;;;
F121;gpt_pp1_21;;;;
F122;gpt_pp1_22;;;;
F123;gpt_pp1_23;;;;
F124;gpt_pp1_24;;;;
F125;gpt_pp1_25;;;;
F126;magenta_pp1_1;;;;
F127;magenta_pp1_2;;;;
F128;magenta_pp1_3;;;;
F129;magenta_pp1_4;;;;
F130;magenta_pp1_5;;;;
F131;magenta_pp1_6;;;;
F132;magenta_pp1_7;;;;
F133;magenta_pp1_8;;;;
F134;magenta_pp1_9;;;;
F135;magenta_pp1_10;;;;
F136;magenta_pp1_11;;;;
F137;magenta_pp1_12;;;;
F138;magenta_pp1_13;;;;
F139;magenta_pp1_14;;;;
F140;magenta_pp1_15;;;;
F141;magenta_pp1_16;;;;
F142;magenta_pp1_17;;;;
F143;magenta_pp1_18;;;;
F144;magenta_pp1_19;;;;
F145;magenta_pp1_20;;;;
F146;magenta_pp1_21;;;;
F147;magenta_pp1_22;;;;
F148;magenta_pp1_23;;;;
F149;magenta_pp1_24;;;;
F150;magenta_pp1_25;;;;
F201;hum_pp1_1;;;;
F202;hum_pp1_2;;;;
F203;hum_pp1_3;;;;
F204;hum_pp1_4;;;;
F205;hum_pp1_5;;;;
F206;hum_pp1_6;;;;
F207;hum_pp1_7;;;;
F208;hum_pp1_8;;;;
F209;hum_pp1_9;;;;
F210;hum_pp1_10;;;;
F211;hum_pp1_11;;;;
